    XFOIL         Version 6.96
  
 Calculated polar for: SOMERS S102 AIRFOIL (SHARP)                     
  11.250   1.2913   0.03183   0.02463  -0.0343   0.1234   0.8520
  11.500   1.3053   0.03239   0.02527  -0.0327   0.1198   0.8700
  11.750   1.3222   0.03330   0.02633  -0.0314   0.1158   0.9096
  12.000   1.3285   0.03399   0.02730  -0.0295   0.1124   1.0000
  12.250   1.3389   0.03485   0.02824  -0.0283   0.1085   1.0000
  12.500   1.3540   0.03570   0.02902  -0.0277   0.1048   1.0000
  12.750   1.3630   0.03701   0.03049  -0.0264   0.1010   1.0000
  13.000   1.3664   0.03815   0.03181  -0.0245   0.0973   1.0000
  13.250   1.3725   0.03913   0.03282  -0.0232   0.0938   1.0000
  13.500   1.3834   0.04043   0.03409  -0.0224   0.0900   1.0000
  13.750   1.3817   0.04202   0.03595  -0.0207   0.0866   1.0000
  14.000   1.3843   0.04341   0.03744  -0.0196   0.0829   1.0000
  14.250   1.3904   0.04481   0.03877  -0.0189   0.0794   1.0000
  14.500   1.3896   0.04692   0.04113  -0.0179   0.0759   1.0000
  14.750   1.3905   0.04885   0.04318  -0.0172   0.0722   1.0000
  15.000   1.3927   0.05079   0.04508  -0.0168   0.0689   1.0000
  15.250   1.3913   0.05341   0.04793  -0.0164   0.0653   1.0000
  15.500   1.3908   0.05592   0.05056  -0.0163   0.0618   1.0000
  15.750   1.3903   0.05858   0.05316  -0.0163   0.0586   1.0000
  16.000   1.3860   0.06196   0.05682  -0.0165   0.0555   1.0000
  16.250   1.3828   0.06524   0.06022  -0.0170   0.0525   1.0000
  16.500   1.3787   0.06873   0.06366  -0.0175   0.0498   1.0000
  16.750   1.3707   0.07310   0.06829  -0.0185   0.0475   1.0000
  17.000   1.3631   0.07750   0.07285  -0.0197   0.0452   1.0000
  17.250   1.3558   0.08198   0.07740  -0.0213   0.0432   1.0000
  17.500   1.3470   0.08680   0.08225  -0.0228   0.0412   1.0000
  17.750   1.3336   0.09280   0.08851  -0.0254   0.0398   1.0000
  18.000   1.3208   0.09890   0.09480  -0.0283   0.0384   1.0000
  18.250   1.3092   0.10495   0.10098  -0.0314   0.0371   1.0000
  18.500   1.2999   0.11065   0.10673  -0.0345   0.0358   1.0000
  18.750   1.2917   0.11602   0.11212  -0.0370   0.0344   1.0000
  19.000   1.2732   0.12407   0.12042  -0.0419   0.0339   1.0000
  19.250   1.2534   0.13261   0.12918  -0.0472   0.0334   1.0000
